spot_id,fraction::Malignant,fraction::CAF,fraction::Endo,fraction::Macro,fraction::NK,fraction::T,marker_proxy::Malignant,marker_proxy::CAF,marker_proxy::Endo,marker_proxy::Macro,marker_proxy::NK,marker_proxy::T
8x10,0.01720980826664189,0.12197311897722155,0.20572885514164374,0.0005367494395047588,0.24033959768899438,0.41421187048599367,-0.31571589556275886,-0.5071398027693954,-0.5327704457664435,-0.2847547586523741,-0.13577681241320644,-0.1949660067152303
8x11,0.012186757422347696,0.10550237499918741,0.2949635260187288,0.0015713093255199377,0.3043780455724806,0.2813979866617354,1.573403924395647,-0.5445671506115324,0.2350196863516183,0.2609661057714955,-0.13577681241320644,-0.1949660067152303
8x12,0.02613055992965921,0.009322932904555385,0.45702279629982145,0.006992089678429463,0.030388056429403374,0.4701435647581311,-0.3719384747565145,-0.8420776049284155,-0.5327704457664435,-0.61035588902394,-0.13577681241320644,-0.1949660067152303
9x3,0.32981797051467776,0.036652414279780166,0.0019071119186223613,0.26226545631291137,0.012579294782432134,0.3567777521915762,-0.3729710409132479,0.16047908337644123,0.015388235198656619,-0.5205357320687328,-0.13577681241320644,-0.1949660067152303
9x4,0.2667206902954186,0.01895682173173332,0.0034796721343153445,0.366413394143557,0.0063214686440086895,0.33810795305096697,0.1197914521522132,-0.013920885367538771,0.5949607846369849,-0.08295033235254787,-0.13577681241320644,-0.1949660067152303
9x5,0.4270119906673804,0.07097418943515077,0.0014605756706918625,0.2592331625468851,0.012088060585062132,0.22923202109482985,-0.20615147934858472,-0.5613898641725363,-0.006565304244454173,0.38275603661825397,-0.13577681241320644,-0.1949660067152303
9x6,0.29930101604253445,0.09103556487950627,0.0019178195027951253,0.29745046594334495,0.013775017738340951,0.2965201158934782,0.160380058262033,-0.4592952896860221,-0.1949764801475491,-0.30789141020262345,0.9243669757900286,0.28442432021795805
9x7,0.5091862191963206,0.10560975398148774,0.002710208402174857,0.1510173156933528,0.006368914240108068,0.22510758848655613,-0.41130272724381683,0.5260750119197826,-0.18223810511626518,-0.5190498357455808,-0.13577681241320644,-0.1949660067152303
9x8,0.4357436131158828,0.03493002905139388,0.0015873419477789928,0.20415376614502836,0.017513300527150347,0.30607194921276565,0.16739426290377768,-0.8420776049284155,-0.5327704457664435,0.8647627720231668,-0.13577681241320644,0.4691858829875059
9x9,0.06635058836777553,0.03942599403012055,0.5054821875651383,0.003805959506373397,0.07510714815236416,0.3098281223782282,0.08860448455653426,-0.35301198465979466,-0.5327704457664435,0.7918394334450273,-0.13577681241320644,0.32176239587353217
9x10,0.04276212429101943,0.0970619938511227,0.27339878268018714,0.00027657633247888937,0.055022256514340055,0.5314782663308518,-0.829244659688113,-0.8420776049284155,-0.5327704457664435,-0.5758103448626135,-0.13577681241320644,-0.1949660067152303
9x11,0.09045979660976514,0.0625321418040523,0.3839611510772792,0.00012381715357212488,0.18225592525808343,0.28066716809724784,-0.829244659688113,0.14600972995200207,-0.5327704457664435,-0.8867753120847987,-0.13577681241320644,-0.1949660067152303
9x12,0.045132031635133504,0.10415326377347275,0.43089771561142426,0.0005901007913793518,0.054916774989634765,0.36431011319895545,0.09193710622570385,-0.5209663965646907,0.23983449167441007,-0.6108908759241318,-0.13577681241320644,-0.1949660067152303
10x3,0.26142608844496684,0.021165724064474995,0.0036078438405333017,0.3513873044686811,0.004527094999902401,0.3578859441814412,-0.24727843572413963,-0.38234118481869467,0.33436835205793647,1.020155836039151,-0.13577681241320644,-0.1949660067152303
10x4,0.3438599259270384,0.0471321975537677,0.0039184398954503685,0.2927705520748996,0.003998101301456838,0.3083207832473871,0.0497054923512989,-0.4917596576991052,-0.2316093710608665,0.15981167052572154,-0.13577681241320644,-0.1949660067152303
10x5,0.4251982509007574,0.05526134881740714,0.0011307113758027767,0.20324040565065532,0.016090409655665234,0.2990788735997121,-0.4036341841035575,-0.15750845664025914,-0.17580641648284415,0.011838610309028708,-0.13577681241320644,-0.1949660067152303
10x6,0.3396584669688823,0.0319216825345816,0.0018241757448395543,0.2802768822539845,0.007974395633167014,0.33834439686454515,-0.3715499042715458,-0.8420776049284155,-0.14889698999429882,0.4902317014677225,-0.13577681241320644,-0.1949660067152303
10x7,0.4452372935797375,0.03539604107957925,0.005124466656296234,0.19059372581310866,0.013348383407125694,0.3103000894641527,0.13044000433818242,-0.8420776049284155,-0.5327704457664435,0.03856856930795658,-0.13577681241320644,-0.1949660067152303
10x8,0.2605468651588279,0.041526962822233865,0.000629981212473628,0.301627525972225,0.010778097213406324,0.38489056762083323,0.1965081210338422,-0.3847033352191584,0.38735583550299635,0.029879611659750484,-0.13577681241320644,-0.1949660067152303
10x9,0.04443373228954234,0.0204943557498443,0.6120144926671159,0.014090448140482664,0.150577950814745,0.15838902033826976,-0.2436854550450597,-0.3197764711651826,-0.5327704457664435,0.2624934829791882,2.4719498019461463,-0.1949660067152303
10x10,0.017368035155964953,0.024307147218278178,0.20834790187096414,0.00035120902315385693,0.49928030448353705,0.25034540224810164,-0.19793399148462143,-0.5568525227505456,-0.5327704457664435,-0.5051786129212479,-0.13577681241320644,-0.1949660067152303
10x11,0.061236874331289645,0.11084294240972557,0.3808641482799866,0.00032864526714474813,0.03997026086895347,0.4067571288429,-0.029088004861545575,-0.23228845736718998,-0.5327704457664435,-0.009276381388816913,-0.13577681241320644,-0.1949660067152303
10x12,0.048792990136620376,0.025710387071989086,0.45826116128313127,0.0005122602014343286,0.2529925407083791,0.21373066059844584,0.09886671689096858,-0.011122641622466234,-0.5327704457664435,-0.6408334983164525,-0.13577681241320644,-0.1949660067152303
