method,slice,cell_type,gene,status,pcc,spearman,pcc_strict,spearman_strict,specificity_gap,target_rank,target_is_top,observed_std,prediction_std,pcc_raw_expression
DACG_recovered_runner_exact,ds6,Malignant,CD37,valid,-0.009532014220131628,-0.008458131642363385,-0.009532014220131628,-0.008458131642363385,-0.14910020133982516,3,False,0.25533607053727947,0.18151347672344592,0.01595253084315162
DACG_recovered_runner_exact,ds6,Malignant,CD74,valid,-0.01767524523190249,-0.026424324822147023,-0.01767524523190249,-0.026424324822147023,-0.12387426723710127,4,False,0.9077165807411178,0.18151347672344592,-0.010789707164242393
DACG_recovered_runner_exact,ds6,Malignant,CD22,valid,0.05490384903672152,0.05850802942206943,0.05490384903672152,0.05850802942206943,-0.12700924211732978,2,False,0.15121684009998423,0.18151347672344592,0.05014094737402464
DACG_recovered_runner_exact,ds6,CAF,COL1A1,valid,0.017494768754774057,-0.006222360960593811,0.017494768754774057,-0.006222360960593811,-0.11970008871106526,3,False,1.0437876171620533,0.06101195788232974,-0.03962991114569815
DACG_recovered_runner_exact,ds6,CAF,DCN,valid,-0.05419663073556623,-0.01120618776983141,-0.05419663073556623,-0.01120618776983141,-0.15211153165278646,5,False,0.49323092335318447,0.06101195788232974,-0.0640061351571197
DACG_recovered_runner_exact,ds6,CAF,LUM,valid,0.04750552213512688,0.03095646946072224,0.04750552213512688,0.03095646946072224,-0.04036717123736918,2,False,0.711962401427999,0.06101195788232974,0.06462823329420085
DACG_recovered_runner_exact,ds6,CAF,ACTA2,valid,-0.11938549153024558,-0.11892438580007587,-0.11938549153024558,-0.11892438580007587,-0.21934826916362818,6,False,0.5485540175358458,0.06101195788232974,-0.10266909095531834
DACG_recovered_runner_exact,ds6,Endo,PECAM1,valid,-0.13375686340132384,-0.15157307442359988,-0.13375686340132384,-0.15157307442359988,-0.2420863182373256,6,False,0.8061380911800776,0.16992195618445355,-0.10352908040010195
DACG_recovered_runner_exact,ds6,Endo,KDR,valid,0.07893035052571255,0.10496673745741576,0.07893035052571255,0.10496673745741576,-0.09797021064999568,2,False,0.27692128304136393,0.16992195618445355,0.07887670322858267
DACG_recovered_runner_exact,ds6,Endo,ENG,valid,-0.15812417478251517,-0.1259961010515654,-0.15812417478251517,-0.1259961010515654,-0.3192458964359553,6,False,0.8117071762116141,0.16992195618445355,-0.06962095048068077
DACG_recovered_runner_exact,ds6,Endo,ESAM,valid,-0.10947997260464673,-0.0519169967650464,-0.10947997260464673,-0.0519169967650464,-0.28577119800340256,6,False,0.5037043432407065,0.16992195618445355,-0.08778467164792139
DACG_recovered_runner_exact,ds6,Macro,LST1,valid,-0.06103445341478505,-0.021143832170252508,-0.06103445341478505,-0.021143832170252508,-0.21046966934061787,4,False,0.3852642364874202,0.12923784144949574,-0.06116975221896987
DACG_recovered_runner_exact,ds6,Macro,C1QB,valid,0.052511708395066345,0.06106318788191262,0.052511708395066345,0.06106318788191262,-0.09435024448182248,2,False,0.9719197144613282,0.12923784144949574,-0.012631839964270558
DACG_recovered_runner_exact,ds6,Macro,CD68,valid,0.11601167316618896,0.07900319519510152,0.11601167316618896,0.07900319519510152,-0.017627158224295197,2,False,0.9010316321653342,0.12923784144949574,0.12620843601792328
DACG_recovered_runner_exact,ds6,Macro,AIF1,valid,0.04143692690386383,0.09007382453947357,0.04143692690386383,0.09007382453947357,-0.03599007096675917,2,False,0.4645740792998372,0.12923784144949574,0.0781133688899178
DACG_recovered_runner_exact,ds6,Macro,FCGR3A,valid,-0.004100160415469454,0.02658285384756057,-0.004100160415469454,0.02658285384756057,-0.18903635466852922,4,False,0.5753926047857246,0.12923784144949574,-0.009896177864904064
DACG_recovered_runner_exact,ds6,NK,GNLY,valid,0.10788688435031171,0.12123691940589432,0.10788688435031171,0.12123691940589432,-0.020344346842559535,2,False,0.14150909308220389,0.10145479510258862,0.10391355145065688
DACG_recovered_runner_exact,ds6,NK,PRF1,valid,0.05982084913013279,0.07577613533035903,0.05982084913013279,0.07577613533035903,0.022709309535536563,1,True,0.26038441505721394,0.10145479510258862,0.08383416295666456
DACG_recovered_runner_exact,ds6,NK,KLRD1,valid,0.048601896513729884,0.07749130248475834,0.048601896513729884,0.07749130248475834,-0.1498147931798352,2,False,0.1222954421985668,0.10145479510258862,0.04860189651372988
DACG_recovered_runner_exact,ds6,NK,GZMB,valid,-0.05596737786282277,-0.002625044296445533,-0.05596737786282277,-0.002625044296445533,-0.14178443947629055,6,False,0.1691308587901856,0.10145479510258862,-0.05738865449565486
DACG_recovered_runner_exact,ds6,NK,FGFBP2,valid,-0.10148412145463465,-0.13428817381623984,-0.10148412145463465,-0.13428817381623984,-0.2881859163634908,5,False,0.2054880371408346,0.10145479510258862,-0.10609374510031892
DACG_recovered_runner_exact,ds6,T,CD3E,valid,0.05582367285793435,0.07012618334790209,0.05582367285793435,0.07012618334790209,-0.06279852466852795,2,False,0.20111290703896456,0.11331527835327282,0.028770589756159273
DACG_recovered_runner_exact,ds6,T,CD2,valid,0.1034475280815714,0.10136121782219289,0.1034475280815714,0.10136121782219289,0.09889621426481973,1,True,0.3507648236452893,0.11331527835327282,0.09075832440391415
DACG_recovered_runner_exact,ds6,T,CD8B,valid,-0.04722540172773732,-0.055350930346255954,-0.04722540172773732,-0.055350930346255954,-0.13610117161484736,4,False,0.08078215281538549,0.11331527835327282,-0.04722540172773732
DACG_recovered_runner_exact,ds6,T,CD4,valid,0.04460491009150094,0.0357839110908162,0.04460491009150094,0.0357839110908162,0.018019096478618706,1,True,0.4544248264635768,0.11331527835327282,0.027508233614920163
