split_seed,model_seed,RMSE,JSD,SSIM,PCC,Edge_MCC,boundary_abs_error,rare_type_AUPRC,structural_valid
17,17,0.065407970134005,0.4672458434204539,0.8017993661209277,0.79537243269047,0.39787549883492423,0.011013215859030923,0.6019431370986923,true
17,42,0.06327656543487162,0.4662668319997464,0.8134405747604143,0.8080981845824693,0.43176046804432305,0.06387665198237891,0.6100234996690349,true
17,89,0.0644639013527188,0.4674097463213373,0.8062747869355109,0.8002455831693096,0.4229879013423746,0.05066079295154191,0.6075438052012695,true
42,17,0.062154366419772684,0.4569168429308541,0.8212712893422803,0.8155162196526597,0.5393421659654677,0.04347826086956519,0.6288865494361453,true
42,42,0.0635139603567979,0.4582616770208819,0.8075529064131107,0.8025134624359118,0.5154970815050528,0.023913043478260843,0.6379582553499332,true
42,89,0.06400345200682124,0.4542207818019129,0.8076195263855787,0.8016376630667919,0.45831019538611145,0.017391304347826098,0.6440438798793413,true
89,17,0.06436409015361233,0.4540306032565288,0.7988162684797184,0.7934961209497423,0.43148322447532833,0.022964509394572064,0.6594107056892824,true
89,42,0.06685893421171753,0.4524574420964446,0.7893570413375078,0.7819471766435698,0.42953656053560213,0.0020876826722338038,0.6585876705319527,true
89,89,0.0645813902483646,0.4510814719149773,0.801171713483775,0.7946781174799152,0.4333677763667252,0.0041753653444676075,0.6608791061196476,true
